angle[deg]	unpol Xsect [nb/sr]: central	Delta(AlphaE1-BetaM1)=+2	Delta(AlphaE1-BetaM1)=-2
0.	23.8	23.8	23.8
1.	23.8	23.8	23.8
2.	23.8	23.8	23.8
3.	23.8	23.8	23.8
4.	23.7	23.7	23.7
5.	23.7	23.7	23.7
6.	23.6	23.6	23.6
7.	23.6	23.6	23.6
8.	23.5	23.5	23.5
9.	23.5	23.5	23.5
10.	23.4	23.4	23.4
11.	23.3	23.3	23.3
12.	23.2	23.2	23.2
13.	23.1	23.1	23.1
14.	23.	23.	23.
15.	22.9	22.9	22.9
16.	22.7	22.7	22.7
17.	22.6	22.6	22.6
18.	22.5	22.5	22.5
19.	22.3	22.3	22.3
20.	22.2	22.2	22.2
21.	22.	22.	22.
22.	21.9	21.9	21.9
23.	21.7	21.7	21.7
24.	21.5	21.5	21.6
25.	21.4	21.4	21.4
26.	21.2	21.2	21.2
27.	21.	21.	21.
28.	20.8	20.8	20.8
29.	20.6	20.6	20.7
30.	20.5	20.4	20.5
31.	20.3	20.3	20.3
32.	20.1	20.1	20.1
33.	19.9	19.9	19.9
34.	19.7	19.7	19.7
35.	19.5	19.5	19.5
36.	19.3	19.2	19.3
37.	19.1	19.	19.1
38.	18.8	18.8	18.9
39.	18.6	18.6	18.7
40.	18.4	18.4	18.5
41.	18.2	18.2	18.2
42.	18.	18.	18.
43.	17.8	17.8	17.8
44.	17.6	17.6	17.6
45.	17.4	17.4	17.4
46.	17.2	17.2	17.2
47.	17.	17.	17.
48.	16.8	16.8	16.8
49.	16.6	16.6	16.7
50.	16.4	16.4	16.5
51.	16.2	16.2	16.3
52.	16.	16.	16.1
53.	15.9	15.8	15.9
54.	15.7	15.6	15.7
55.	15.5	15.5	15.6
56.	15.3	15.3	15.4
57.	15.2	15.1	15.2
58.	15.	14.9	15.1
59.	14.8	14.8	14.9
60.	14.7	14.6	14.8
61.	14.5	14.5	14.6
62.	14.4	14.3	14.5
63.	14.2	14.2	14.3
64.	14.1	14.	14.2
65.	14.	13.9	14.1
66.	13.8	13.7	13.9
67.	13.7	13.6	13.8
68.	13.6	13.5	13.7
69.	13.5	13.4	13.6
70.	13.4	13.3	13.5
71.	13.3	13.2	13.4
72.	13.2	13.1	13.3
73.	13.1	13.	13.3
74.	13.	12.9	13.2
75.	13.	12.8	13.1
76.	12.9	12.7	13.
77.	12.8	12.7	13.
78.	12.8	12.6	12.9
79.	12.7	12.5	12.9
80.	12.7	12.5	12.8
81.	12.6	12.4	12.8
82.	12.6	12.4	12.8
83.	12.5	12.3	12.7
84.	12.5	12.3	12.7
85.	12.5	12.3	12.7
86.	12.5	12.3	12.7
87.	12.5	12.2	12.7
88.	12.5	12.2	12.7
89.	12.5	12.2	12.7
90.	12.5	12.2	12.7
91.	12.5	12.2	12.7
92.	12.5	12.2	12.8
93.	12.5	12.2	12.8
94.	12.5	12.3	12.8
95.	12.6	12.3	12.9
96.	12.6	12.3	12.9
97.	12.6	12.3	12.9
98.	12.7	12.4	13.
99.	12.7	12.4	13.
100.	12.8	12.5	13.1
101.	12.8	12.5	13.2
102.	12.9	12.6	13.2
103.	12.9	12.6	13.3
104.	13.	12.7	13.4
105.	13.1	12.7	13.4
106.	13.2	12.8	13.5
107.	13.2	12.9	13.6
108.	13.3	12.9	13.7
109.	13.4	13.	13.8
110.	13.5	13.1	13.9
111.	13.6	13.2	14.
112.	13.6	13.2	14.1
113.	13.7	13.3	14.2
114.	13.8	13.4	14.3
115.	13.9	13.5	14.4
116.	14.	13.6	14.5
117.	14.1	13.7	14.6
118.	14.2	13.8	14.7
119.	14.3	13.9	14.8
120.	14.4	13.9	14.9
121.	14.5	14.	15.
122.	14.6	14.1	15.1
123.	14.7	14.2	15.2
124.	14.8	14.3	15.3
125.	14.9	14.4	15.5
126.	15.1	14.5	15.6
127.	15.2	14.6	15.7
128.	15.3	14.7	15.8
129.	15.4	14.8	15.9
130.	15.5	15.	16.
131.	15.6	15.1	16.2
132.	15.7	15.2	16.3
133.	15.8	15.3	16.4
134.	15.9	15.4	16.5
135.	16.	15.5	16.6
136.	16.1	15.6	16.7
137.	16.2	15.7	16.8
138.	16.3	15.8	16.9
139.	16.5	15.9	17.1
140.	16.6	16.	17.2
141.	16.7	16.1	17.3
142.	16.8	16.1	17.4
143.	16.9	16.2	17.5
144.	17.	16.3	17.6
145.	17.1	16.4	17.7
146.	17.1	16.5	17.8
147.	17.2	16.6	17.9
148.	17.3	16.7	18.
149.	17.4	16.8	18.1
150.	17.5	16.9	18.2
151.	17.6	16.9	18.3
152.	17.7	17.	18.3
153.	17.8	17.1	18.4
154.	17.8	17.2	18.5
155.	17.9	17.2	18.6
156.	18.	17.3	18.7
157.	18.1	17.4	18.7
158.	18.1	17.4	18.8
159.	18.2	17.5	18.9
160.	18.2	17.6	18.9
161.	18.3	17.6	19.
162.	18.4	17.7	19.1
163.	18.4	17.7	19.1
164.	18.5	17.8	19.2
165.	18.5	17.8	19.2
166.	18.6	17.9	19.3
167.	18.6	17.9	19.3
168.	18.7	17.9	19.4
169.	18.7	18.	19.4
170.	18.7	18.	19.4
171.	18.8	18.	19.5
172.	18.8	18.1	19.5
173.	18.8	18.1	19.5
174.	18.8	18.1	19.6
175.	18.8	18.1	19.6
176.	18.9	18.1	19.6
177.	18.9	18.2	19.6
178.	18.9	18.2	19.6
179.	18.9	18.2	19.6
180.	18.9	18.2	19.6
