#####137	traces-2016-04-07-18-32-28.dat.root	carbon
#####138	traces-2016-04-07-19-33-10.dat.root	carbon
#####139	traces-2016-04-07-20-34-56.dat.root	carbon
140	traces-2016-04-08-11-49-41.dat.root	deuterium
141	traces-2016-04-08-12-51-22.dat.root	deuterium
142	traces-2016-04-08-13-53-17.dat.root	deuterium
144	traces-2016-04-08-15-07-26.dat.root	deuterium
145	traces-2016-04-08-16-08-36.dat.root	deuterium
146	traces-2016-04-08-17-09-52.dat.root	deuterium
147	traces-2016-04-08-18-11-02.dat.root	deuterium
148	traces-2016-04-08-19-12-17.dat.root	deuterium
149	traces-2016-04-08-20-14-04.dat.root	deuterium
150	traces-2016-04-11-08-49-59.dat.root	deuterium
151	traces-2016-04-11-09-56-02.dat.root	deuterium
152	traces-2016-04-11-10-58-22.dat.root	deuterium
153	traces-2016-04-11-11-59-32.dat.root	deuterium
154	traces-2016-04-11-13-00-29.dat.root	deuterium
155	traces-2016-04-11-14-01-27.dat.root	deuterium
156	traces-2016-04-11-15-03-19.dat.root	deuterium
158	traces-2016-04-11-16-35-16.dat.root	deuterium
159	traces-2016-04-11-17-37-32.dat.root	deuterium
160	traces-2016-04-11-18-41-19.dat.root	deuterium
161	traces-2016-04-11-19-43-23.dat.root	deuterium
162	traces-2016-04-11-20-48-15.dat.root	deuterium
164	traces-2016-04-11-22-48-49.dat.root	deuterium
165	traces-2016-04-11-23-51-41.dat.root	deuterium
166	traces-2016-04-12-00-51-57.dat.root	deuterium
167	traces-2016-04-12-01-53-25.dat.root	deuterium
168	traces-2016-04-12-02-55-39.dat.root	deuterium
169	traces-2016-04-12-03-56-11.dat.root	deuterium
170	traces-2016-04-12-04-55-57.dat.root	deuterium
171	traces-2016-04-12-05-55-59.dat.root	deuterium
172	traces-2016-04-12-06-55-29.dat.root	deuterium
173	traces-2016-04-12-07-55-27.dat.root	deuterium
174	traces-2016-04-12-08-58-16.dat.root	deuterium
175	traces-2016-04-12-11-00-38.dat.root	deuterium
176	traces-2016-04-12-12-01-52.dat.root	deuterium
178	traces-2016-04-12-14-14-48.dat.root	deuterium
179	traces-2016-04-12-15-15-00.dat.root	deuterium
180	traces-2016-04-12-16-16-05.dat.root	deuterium
181	traces-2016-04-12-17-18-45.dat.root	deuterium
182	traces-2016-04-12-18-20-50.dat.root	deuterium
183	traces-2016-04-12-19-20-11.dat.root	deuterium
185	traces-2016-04-12-21-25-20.dat.root	empty
